Model,RMSE,R2_Score
LinearRegression,5796.556335884075,0.7835726930039906
DecisionTree,6658.727498947467,0.7144024892131888
RandomForest,4569.886351016236,0.8654812779476422
GradientBoosting,4324.433047807108,0.8795434865327185
XGBoost,5359.207636287237,0.8149994154584068
KNN,11187.528314073224,0.19380476237396294
